begin,end,open,close,high,low,volume,cost
1970-01-01 00:00:00.000000127,128.45,128.6,127.6,21051316.200000007,164451,2025-11-17 10:00:00,2025-11-17 10:59:59
1970-01-01 00:00:00.000000128,129.05,129.2,128.85,27234673.699999988,211136,2025-11-14 15:00:00,2025-11-14 15:59:59
1970-01-01 00:00:00.000000129,129.75,129.8,129.55,1166461.45,8996,2025-11-12 22:00:00,2025-11-12 22:58:08
1970-01-01 00:00:00.000000130,129.75,130.55,129.7,3534026.5999999996,27160,2025-11-14 10:00:00,2025-11-14 10:59:59
1970-01-01 00:00:00.000000131,131.0,131.0,131.0,131.0,1,2025-11-11 09:00:00,2025-11-11 09:59:59
